
Epoch 1:
features.0.0.weight: max=0.279751, mean=0.048286
classifier.bias: max=0.034902, mean=0.008447

Epoch 11:
features.0.0.weight: max=0.295437, mean=0.071197
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.050230, mean=0.018767
features.0.1.bias: max=0.065142, mean=0.015941
features.1.0.weight: max=0.040826, mean=0.004899
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.106388, mean=0.020133
features.1.1.bias: max=0.084931, mean=0.017746
features.2.0.weight: max=0.022756, mean=0.002564
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.073211, mean=0.021298
features.2.1.bias: max=0.057175, mean=0.015555
features.3.0.weight: max=0.004887, mean=0.000418
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.038802, mean=0.010987
features.3.1.bias: max=0.035528, mean=0.010721
classifier.weight: max=0.090065, mean=0.019473
classifier.bias: max=0.071568, mean=0.023227

Epoch 12:
features.0.0.weight: max=0.417446, mean=0.079300
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.109085, mean=0.018793
features.0.1.bias: max=0.082097, mean=0.017609
features.1.0.weight: max=0.036531, mean=0.004546
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.101157, mean=0.023782
features.1.1.bias: max=0.073018, mean=0.018642
features.2.0.weight: max=0.029810, mean=0.002330
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.105784, mean=0.024201
features.2.1.bias: max=0.079232, mean=0.019886
features.3.0.weight: max=0.003833, mean=0.000372
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.019347, mean=0.006162
features.3.1.bias: max=0.018933, mean=0.006170
classifier.weight: max=0.047544, mean=0.014644
classifier.bias: max=0.029238, mean=0.017710

Epoch 13:
features.0.0.weight: max=0.167941, mean=0.030946
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.025083, mean=0.008654
features.0.1.bias: max=0.027959, mean=0.007118
features.1.0.weight: max=0.040513, mean=0.002875
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.045857, mean=0.012310
features.1.1.bias: max=0.023933, mean=0.008365
features.2.0.weight: max=0.019508, mean=0.001489
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.071318, mean=0.015506
features.2.1.bias: max=0.051021, mean=0.012124
features.3.0.weight: max=0.002710, mean=0.000248
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.011946, mean=0.003565
features.3.1.bias: max=0.011403, mean=0.003402
classifier.weight: max=0.033176, mean=0.006992
classifier.bias: max=0.021632, mean=0.009424

Epoch 14:
features.0.0.weight: max=0.273470, mean=0.038528
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.041414, mean=0.012501
features.0.1.bias: max=0.034687, mean=0.009137
features.1.0.weight: max=0.031749, mean=0.003256
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.062750, mean=0.014633
features.1.1.bias: max=0.050225, mean=0.010656
features.2.0.weight: max=0.022926, mean=0.001647
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.063852, mean=0.014526
features.2.1.bias: max=0.039005, mean=0.010428
features.3.0.weight: max=0.002904, mean=0.000268
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.027112, mean=0.007071
features.3.1.bias: max=0.024227, mean=0.006725
classifier.weight: max=0.066468, mean=0.013600
classifier.bias: max=0.055437, mean=0.016766

Epoch 15:
features.0.0.weight: max=0.253726, mean=0.057478
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.030706, mean=0.012663
features.0.1.bias: max=0.034293, mean=0.012025
features.1.0.weight: max=0.033147, mean=0.003469
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.060819, mean=0.014951
features.1.1.bias: max=0.046195, mean=0.013266
features.2.0.weight: max=0.025638, mean=0.001818
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.088116, mean=0.016360
features.2.1.bias: max=0.061477, mean=0.012541
features.3.0.weight: max=0.004035, mean=0.000313
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.023973, mean=0.006398
features.3.1.bias: max=0.021115, mean=0.005725
classifier.weight: max=0.057433, mean=0.014498
classifier.bias: max=0.040904, mean=0.015085

Epoch 16:
features.0.0.weight: max=0.399039, mean=0.049411
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.042108, mean=0.014475
features.0.1.bias: max=0.044841, mean=0.012967
features.1.0.weight: max=0.050384, mean=0.003679
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.089379, mean=0.015337
features.1.1.bias: max=0.031699, mean=0.010106
features.2.0.weight: max=0.032896, mean=0.002016
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.119184, mean=0.019727
features.2.1.bias: max=0.086131, mean=0.014867
features.3.0.weight: max=0.004087, mean=0.000341
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.027171, mean=0.008336
features.3.1.bias: max=0.023713, mean=0.007545
classifier.weight: max=0.070501, mean=0.018858
classifier.bias: max=0.053143, mean=0.019362

Epoch 17:
features.0.0.weight: max=0.307595, mean=0.065141
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.123911, mean=0.013638
features.0.1.bias: max=0.085094, mean=0.015535
features.1.0.weight: max=0.036657, mean=0.003722
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.048714, mean=0.014119
features.1.1.bias: max=0.037405, mean=0.011692
features.2.0.weight: max=0.020456, mean=0.001828
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.066258, mean=0.017404
features.2.1.bias: max=0.053055, mean=0.014094
features.3.0.weight: max=0.002514, mean=0.000289
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.023384, mean=0.006568
features.3.1.bias: max=0.020894, mean=0.006769
classifier.weight: max=0.052417, mean=0.011704
classifier.bias: max=0.040464, mean=0.015155

Epoch 18:
features.0.0.weight: max=0.240122, mean=0.041297
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.040177, mean=0.012388
features.0.1.bias: max=0.036002, mean=0.011213
features.1.0.weight: max=0.034511, mean=0.003317
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.057848, mean=0.012803
features.1.1.bias: max=0.035664, mean=0.010543
features.2.0.weight: max=0.026885, mean=0.001775
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.110382, mean=0.015956
features.2.1.bias: max=0.058099, mean=0.012346
features.3.0.weight: max=0.003668, mean=0.000284
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.020711, mean=0.006305
features.3.1.bias: max=0.019747, mean=0.005781
classifier.weight: max=0.052342, mean=0.013227
classifier.bias: max=0.036248, mean=0.015678

Epoch 19:
features.0.0.weight: max=0.353395, mean=0.046068
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.075702, mean=0.013049
features.0.1.bias: max=0.050061, mean=0.010882
features.1.0.weight: max=0.047275, mean=0.004193
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.083179, mean=0.019942
features.1.1.bias: max=0.051401, mean=0.016317
features.2.0.weight: max=0.031403, mean=0.002166
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.083073, mean=0.022295
features.2.1.bias: max=0.076406, mean=0.017966
features.3.0.weight: max=0.004713, mean=0.000357
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.030883, mean=0.009073
features.3.1.bias: max=0.029510, mean=0.008772
classifier.weight: max=0.079643, mean=0.016419
classifier.bias: max=0.052210, mean=0.020577

Epoch 20:
features.0.0.weight: max=0.215686, mean=0.044515
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.042558, mean=0.011167
features.0.1.bias: max=0.043536, mean=0.010037
features.1.0.weight: max=0.044676, mean=0.002966
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.050028, mean=0.014094
features.1.1.bias: max=0.035212, mean=0.011065
features.2.0.weight: max=0.025769, mean=0.001589
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.112493, mean=0.017542
features.2.1.bias: max=0.070354, mean=0.013797
features.3.0.weight: max=0.003243, mean=0.000261
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.020625, mean=0.006301
features.3.1.bias: max=0.020711, mean=0.006046
classifier.weight: max=0.077520, mean=0.013684
classifier.bias: max=0.045387, mean=0.016646

Epoch 21:
features.0.0.weight: max=0.330036, mean=0.050514
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.040349, mean=0.016004
features.0.1.bias: max=0.047202, mean=0.015067
features.1.0.weight: max=0.038562, mean=0.004212
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.143469, mean=0.019304
features.1.1.bias: max=0.093662, mean=0.016902
features.2.0.weight: max=0.026583, mean=0.002322
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.128748, mean=0.022619
features.2.1.bias: max=0.085418, mean=0.017830
features.3.0.weight: max=0.005004, mean=0.000371
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.020625, mean=0.006414
features.3.1.bias: max=0.020600, mean=0.005930
classifier.weight: max=0.059153, mean=0.012705
classifier.bias: max=0.034943, mean=0.015061

Epoch 22:
features.0.0.weight: max=0.234938, mean=0.045760
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.033950, mean=0.009425
features.0.1.bias: max=0.026530, mean=0.010465
features.1.0.weight: max=0.023626, mean=0.003046
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.048876, mean=0.013568
features.1.1.bias: max=0.057338, mean=0.012662
features.2.0.weight: max=0.018062, mean=0.001534
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.073544, mean=0.015019
features.2.1.bias: max=0.051195, mean=0.011752
features.3.0.weight: max=0.002183, mean=0.000251
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.015792, mean=0.005130
features.3.1.bias: max=0.016257, mean=0.005427
classifier.weight: max=0.034583, mean=0.010220
classifier.bias: max=0.025996, mean=0.012651

Epoch 23:
features.0.0.weight: max=0.174655, mean=0.033463
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.034674, mean=0.009395
features.0.1.bias: max=0.043618, mean=0.010090
features.1.0.weight: max=0.038381, mean=0.002977
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.046877, mean=0.013596
features.1.1.bias: max=0.033831, mean=0.011201
features.2.0.weight: max=0.026337, mean=0.001594
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.077290, mean=0.015554
features.2.1.bias: max=0.055052, mean=0.011310
features.3.0.weight: max=0.003312, mean=0.000259
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.018518, mean=0.005075
features.3.1.bias: max=0.016076, mean=0.004845
classifier.weight: max=0.039955, mean=0.010587
classifier.bias: max=0.027465, mean=0.012194

Epoch 24:
features.0.0.weight: max=0.350157, mean=0.051558
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.081550, mean=0.013841
features.0.1.bias: max=0.068084, mean=0.012177
features.1.0.weight: max=0.045278, mean=0.003620
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.114132, mean=0.018062
features.1.1.bias: max=0.069294, mean=0.012807
features.2.0.weight: max=0.022992, mean=0.001756
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.087572, mean=0.016245
features.2.1.bias: max=0.053881, mean=0.012347
features.3.0.weight: max=0.003473, mean=0.000295
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.021528, mean=0.007242
features.3.1.bias: max=0.018500, mean=0.006979
classifier.weight: max=0.060876, mean=0.013185
classifier.bias: max=0.040566, mean=0.014712

Epoch 25:
features.0.0.weight: max=0.334574, mean=0.054437
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.031853, mean=0.010149
features.0.1.bias: max=0.050209, mean=0.011785
features.1.0.weight: max=0.050651, mean=0.002968
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.037729, mean=0.013556
features.1.1.bias: max=0.047294, mean=0.011684
features.2.0.weight: max=0.019052, mean=0.001714
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.074736, mean=0.016176
features.2.1.bias: max=0.055026, mean=0.013118
features.3.0.weight: max=0.003055, mean=0.000269
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.022428, mean=0.006920
features.3.1.bias: max=0.023907, mean=0.007229
classifier.weight: max=0.061165, mean=0.014161
classifier.bias: max=0.055947, mean=0.018595

Epoch 26:
features.0.0.weight: max=0.323616, mean=0.052777
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.054659, mean=0.015445
features.0.1.bias: max=0.085682, mean=0.012447
features.1.0.weight: max=0.041434, mean=0.004076
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.109275, mean=0.018948
features.1.1.bias: max=0.048623, mean=0.014536
features.2.0.weight: max=0.029134, mean=0.001993
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.076286, mean=0.017894
features.2.1.bias: max=0.044189, mean=0.013306
features.3.0.weight: max=0.003987, mean=0.000317
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.022609, mean=0.006805
features.3.1.bias: max=0.020792, mean=0.006307
classifier.weight: max=0.060349, mean=0.013145
classifier.bias: max=0.045177, mean=0.016496

Epoch 27:
features.0.0.weight: max=0.259418, mean=0.044012
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.047559, mean=0.013268
features.0.1.bias: max=0.039882, mean=0.012503
features.1.0.weight: max=0.060184, mean=0.004567
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.074202, mean=0.022741
features.1.1.bias: max=0.064025, mean=0.016257
features.2.0.weight: max=0.031177, mean=0.002488
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.128916, mean=0.023962
features.2.1.bias: max=0.085581, mean=0.018136
features.3.0.weight: max=0.004652, mean=0.000396
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.017229, mean=0.005608
features.3.1.bias: max=0.014680, mean=0.004684
classifier.weight: max=0.042380, mean=0.010403
classifier.bias: max=0.028945, mean=0.009258

Epoch 28:
features.0.0.weight: max=0.287706, mean=0.039018
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.045656, mean=0.015340
features.0.1.bias: max=0.067557, mean=0.012153
features.1.0.weight: max=0.029203, mean=0.003550
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.056230, mean=0.014655
features.1.1.bias: max=0.036768, mean=0.010612
features.2.0.weight: max=0.021704, mean=0.001637
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.062893, mean=0.015884
features.2.1.bias: max=0.059953, mean=0.011875
features.3.0.weight: max=0.003107, mean=0.000281
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.021086, mean=0.007497
features.3.1.bias: max=0.023563, mean=0.007379
classifier.weight: max=0.061975, mean=0.014027
classifier.bias: max=0.049568, mean=0.017211

Epoch 29:
features.0.0.weight: max=0.351285, mean=0.077265
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.045423, mean=0.013319
features.0.1.bias: max=0.047858, mean=0.013108
features.1.0.weight: max=0.037461, mean=0.003594
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.080067, mean=0.017907
features.1.1.bias: max=0.046113, mean=0.014176
features.2.0.weight: max=0.019795, mean=0.001912
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.069704, mean=0.017859
features.2.1.bias: max=0.068845, mean=0.014213
features.3.0.weight: max=0.003986, mean=0.000291
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.022681, mean=0.007115
features.3.1.bias: max=0.022067, mean=0.007236
classifier.weight: max=0.054105, mean=0.013557
classifier.bias: max=0.039161, mean=0.018452

Epoch 30:
features.0.0.weight: max=0.297147, mean=0.058506
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.044041, mean=0.014312
features.0.1.bias: max=0.030197, mean=0.013170
features.1.0.weight: max=0.057614, mean=0.005018
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.095288, mean=0.019503
features.1.1.bias: max=0.053796, mean=0.015228
features.2.0.weight: max=0.036354, mean=0.002590
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.118260, mean=0.024179
features.2.1.bias: max=0.083820, mean=0.018141
features.3.0.weight: max=0.006303, mean=0.000421
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.034571, mean=0.011875
features.3.1.bias: max=0.032611, mean=0.011143
classifier.weight: max=0.102389, mean=0.015128
classifier.bias: max=0.077099, mean=0.017465

Epoch 31:
features.0.0.weight: max=0.313111, mean=0.035896
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.035099, mean=0.013642
features.0.1.bias: max=0.044962, mean=0.013851
features.1.0.weight: max=0.026231, mean=0.003505
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.058121, mean=0.015540
features.1.1.bias: max=0.041424, mean=0.012919
features.2.0.weight: max=0.025485, mean=0.001699
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.055271, mean=0.015203
features.2.1.bias: max=0.045687, mean=0.012068
features.3.0.weight: max=0.003493, mean=0.000283
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.017172, mean=0.004760
features.3.1.bias: max=0.016179, mean=0.004705
classifier.weight: max=0.050970, mean=0.010382
classifier.bias: max=0.037112, mean=0.013169

Epoch 32:
features.0.0.weight: max=0.327898, mean=0.055690
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.048132, mean=0.019028
features.0.1.bias: max=0.061911, mean=0.015084
features.1.0.weight: max=0.060034, mean=0.004092
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.087557, mean=0.016091
features.1.1.bias: max=0.060773, mean=0.013252
features.2.0.weight: max=0.026447, mean=0.001920
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.057917, mean=0.015621
features.2.1.bias: max=0.046580, mean=0.011130
features.3.0.weight: max=0.003014, mean=0.000300
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.013761, mean=0.003979
features.3.1.bias: max=0.016588, mean=0.004627
classifier.weight: max=0.034442, mean=0.007817
